From	Entry	Protein names	Gene Names	Length	EC number	Interacts with	Pathway	Gene Ontology IDs	Subcellular location [CC]	PubMed ID	Protein families	Domain [FT]	Topological domain
b0060	P21189	DNA polymerase II (Pol II) (EC 2.7.7.7)	polB dinA b0060 JW0059	783	2.7.7.7			GO:0000166; GO:0003677; GO:0003887; GO:0006261; GO:0008296; GO:0009432; GO:0045004		2034216; 2261080; 1630901; 9278503; 16738553; 2217198; 1999435; 1534562; 9079692	DNA polymerase type-B family		
b0077	P00893	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076	574	2.2.1.6		PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 1/4.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 1/4.	GO:0000287; GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:0030976; GO:0050660		6308579; 1630901; 9278503; 16738553; 3891724; 9298646	TPP enzyme family		
b2211	P33941	ABC transporter ATP-binding/permease protein YojI	yojI yojJ b2211 JW2199	547				GO:0005524; GO:0016020; GO:0016887; GO:0042626; GO:0042884; GO:0043190; GO:0046677; GO:0140359; GO:1904680	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.	9097040; 9278503; 16738553; 15866933	ABC transporter superfamily	DOMAIN 15..291; /note="ABC transmembrane type-1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"; DOMAIN 323..547; /note="ABC transporter"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00434"	
b1482	P0C0L2	Peroxiredoxin OsmC (EC 1.11.1.-) (Osmotically-inducible protein C)	osmC b1482 JW1477	143	1.11.1.-			GO:0004601; GO:0005829; GO:0006972; GO:0006979; GO:0033194; GO:0042803; GO:0051920	SUBCELLULAR LOCATION: Cytoplasm.	1715407; 9097039; 9278503; 16738553; 9298646; 18723842; 14627744; 15103136	OsmC/Ohr family		
b0889	P0ACJ0	Leucine-responsive regulatory protein	lrp alsB ihb livR oppI b0889 JW0872	164		P0ACJ0; P0AFW4		GO:0000976; GO:0001216; GO:0001217; GO:0005829; GO:0006355; GO:0006524; GO:0032993; GO:0042802; GO:0043201; GO:0043565; GO:0045892		2040596; 8905232; 9278503; 16738553; 2115869; 1729203; 8212136; 9298644		DOMAIN 12..73; /note="HTH asnC-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00319"	
b3617	P0AB77	2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase)	kbl b3617 JW3592	398	2.3.1.29		PATHWAY: Amino-acid degradation; L-threonine degradation via oxydo-reductase pathway; glycine from L-threonine: step 2/2. {ECO:0000255|HAMAP-Rule:MF_00985}.	GO:0005737; GO:0005829; GO:0008890; GO:0009058; GO:0016874; GO:0019518; GO:0030170; GO:0046872		3287333; 8041620; 9278503; 16738553; 3117785; 2104756; 9298644; 11318637	Class-II pyridoxal-phosphate-dependent aminotransferase family		
b2669	P0ACG1	DNA-binding protein StpA (H-NS homolog StpA)	stpA hnsB b2669 JW2644	134		P0ACF8		GO:0000976; GO:0001217; GO:0003677; GO:0003680; GO:0003681; GO:0003723; GO:0005829; GO:0009295; GO:0030527; GO:0032993; GO:0046983	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000269|PubMed:21903814}. Note=Scattered throughout the nucleoid (PubMed:21903814). {ECO:0000269|PubMed:21903814}.	1480493; 7961433; 9205837; 9278503; 16738553; 8890170; 8755860; 17267410; 21903814; 23543115	Histone-like protein H-NS family		
b1798	P76249	Leucine efflux protein	leuE yeaS b1798 JW1787	212				GO:0005886; GO:0015190; GO:0015297; GO:0015820	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.	9097040; 9278503; 16738553; 16098526	Rht family		
b0403	P21517	Maltodextrin glucosidase (EC 3.2.1.20) (Alpha-glucosidase)	malZ b0403 JW0393	604	3.2.1.20			GO:0004558; GO:0005737; GO:0030980; GO:0032450; GO:0042803	SUBCELLULAR LOCATION: Cytoplasm.	1918057; 9278503; 16738553; 1706703	Glycosyl hydrolase 13 family		
b0447	P0ACJ5	DNA-binding transcriptional activator DecR	decR ybaO b0447 JW0437	152				GO:0005829; GO:0009093; GO:0043200; GO:0043565; GO:2000144		9278503; 16738553; 7904973; 27435271		DOMAIN 2..63; /note="HTH asnC-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00319"	
b0463	P0AE06	Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A)	acrA lir mtcA b0463 JW0452	397		P0AE06; P02930		GO:0015721; GO:0022857; GO:0030288; GO:0042802; GO:0042908; GO:0046677; GO:0098567; GO:0140330; GO:1990281	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303, ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137}. Note=An unlipidated version of this protein (directed to the periplasm by the OmpA signal sequence) functions normally.	8407802; 9278503; 16738553; 7651136; 9878415; 10920254; 15228545; 16079137; 23010927; 16531241	Membrane fusion protein (MFP) (TC 8.A.1) family		
b3035	P02930	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503	493		P0AE06; P75830; P02930		GO:0005216; GO:0009279; GO:0009410; GO:0009636; GO:0014070; GO:0015125; GO:0015288; GO:0015562; GO:0015721; GO:0016020; GO:0030288; GO:0034220; GO:0042802; GO:0042930; GO:0046677; GO:0098567; GO:0140330; GO:1990196; GO:1990281; GO:1990961	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:21778229, ECO:0000269|PubMed:6337123, ECO:0000269|PubMed:9044294}; Multi-pass membrane protein {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:21778229, ECO:0000269|PubMed:6337123, ECO:0000269|PubMed:9044294}.	6312426; 2216730; 9278503; 16738553; 6303857; 6337123; 9298646; 9629924; 9044294; 11274125; 15228545; 16079137; 18955484; 19342493; 19805313; 21325274; 21778229; 23176499; 10879525; 15342230; 18406332; 21245342	Outer membrane factor (OMF) (TC 1.B.17) family		TOPO_DOM 23..62; /note="Periplasmic"; TOPO_DOM 75..82; /note="Extracellular"; TOPO_DOM 97..268; /note="Periplasmic"; TOPO_DOM 280..300; /note="Extracellular"; TOPO_DOM 312..493; /note="Periplasmic"
b0871	P07003	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) (Pyruvate:ubiquinone-8 oxidoreductase)	poxB b0871 JW0855	572	1.2.5.1	P07003		GO:0000287; GO:0005829; GO:0005886; GO:0006090; GO:0008289; GO:0030976; GO:0032991; GO:0042802; GO:0042867; GO:0048039; GO:0050660; GO:0052737	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:365232, ECO:0000305|PubMed:5336022}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:365232, ECO:0000305|PubMed:5336022}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:365232}.	3016647; 8905232; 9278503; 16738553; 2663858; 3902830; 8022274; 5336022; 334770; 334771; 365232; 6286628; 6752142; 6385860; 3527254; 9298644; 16080684; 18988747	TPP enzyme family		
b4396	P0ACI0	Right origin-binding protein	rob b4396 JW4359	289				GO:0003700; GO:0005829; GO:0043565		8449900; 7610040; 9278503; 16738553		DOMAIN 8..106; /note="HTH araC/xylS-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00593"	
b0950	P0AFL9	Intermembrane transport protein PqiA (Paraquat-inducible protein A)	pqiA pqi5A b0950 JW0933	417				GO:0005886; GO:0016020	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:27795327}; Multi-pass membrane protein {ECO:0000269|PubMed:27795327}.	7751275; 8905232; 9278503; 16738553; 15919996; 27795327	PqiA family		TOPO_DOM 1..50; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:27795327"; TOPO_DOM 72..101; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:27795327"; TOPO_DOM 123..256; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:27795327"; TOPO_DOM 278..284; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:27795327"; TOPO_DOM 306..346; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:27795327"; TOPO_DOM 368..370; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:27795327"; TOPO_DOM 392..417; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:27795327"
b0850	P46119	Uncharacterized protein YbjC	ybjC b0850 JW0834	95				GO:0016020; GO:1901422; GO:1901562		8905232; 9278503; 16738553; 3530878; 7567469			
b1452	P76116	Uncharacterized protein YncE	yncE b1452 JW1447	353				GO:0003677; GO:0030288		9278503; 16738553; 12746439; 16352602; 18931447			
b3924	P28861	Flavodoxin/ferredoxin--NADP reductase (EC 1.18.1.2) (EC 1.19.1.1) (Ferredoxin (flavodoxin):NADP(+) oxidoreductase) (Ferredoxin--NADP reductase) (FNR) (Flavodoxin--NADP reductase) (FLDR) (Methyl viologen resistance protein A) (dA1)	fpr mvrA b3924 JW3895	248	1.18.1.2; 1.19.1.1			GO:0000104; GO:0000303; GO:0003994; GO:0004324; GO:0005829; GO:0009410; GO:0016226; GO:0034599; GO:0042167; GO:0071949	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:7961651}.	8449868; 8346018; 9278503; 16738553; 1400248; 2834327; 7961651; 7042345; 8267617; 9839946; 11085917; 12234497; 9149148; 21306142	Ferredoxin--NADP reductase type 1 family	DOMAIN 2..101; /note="FAD-binding FR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00716"	
b2237	P27294	Protein InaA	inaA yfaG b2237 JW2231	216				GO:0005886		6087316; 9205837; 9278503; 16738553; 1537798	Protein kinase superfamily, KdkA/RfaP family		
b2159	P0A6C1	Endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)	nfo b2159 JW2146	285	3.1.21.2			GO:0003677; GO:0003906; GO:0004519; GO:0005829; GO:0006281; GO:0006284; GO:0008081; GO:0008270; GO:0008296; GO:0008833; GO:0016791		2460435; 9278503; 16738553; 1720775; 10458614	AP endonuclease 2 family		
b4177	P0A7D4	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA adeK b4177 JW4135	432	6.3.4.4		PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 1/2. {ECO:0000255|HAMAP-Rule:MF_00011}.	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0005829; GO:0006164; GO:0006974; GO:0015949; GO:0016020; GO:0044208; GO:0046040; GO:0046086; GO:0097216	SUBCELLULAR LOCATION: Cytoplasm.	3058695; 7610040; 9278503; 16738553; 2061308; 9298646; 2108156; 1733940; 7490761; 8961938; 8663109; 9000627; 8790347; 9182542; 10556888; 10346917; 10364182; 11741996; 16981730	Adenylosuccinate synthetase family		
b0605	P0AE08	Alkyl hydroperoxide reductase C (EC 1.11.1.26) (Alkyl hydroperoxide reductase protein C22) (Peroxiredoxin) (SCRP-23) (Sulfate starvation-induced protein 8) (SSI8) (Thioredoxin peroxidase)	ahpC b0605 JW0598	187	1.11.1.26	P0AE08		GO:0004601; GO:0005737; GO:0005829; GO:0006979; GO:0008379; GO:0009321; GO:0009970; GO:0016020; GO:0016684; GO:0019290; GO:0032843; GO:0033194; GO:0033195; GO:0042744; GO:0042802; GO:0045454; GO:0102039	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:7499381}.	1592833; 8905232; 9278503; 16738553; 1575737; 9298646; 7499381; 8774726; 9600841; 9298644; 11717276; 20005847; 18723842; 25372677; 27892488	Peroxiredoxin family, AhpC/Prx1 subfamily	DOMAIN 2..157; /note="Thioredoxin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00691"	
b3939	P00935	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	metB b3939 JW3910	386	2.5.1.48		PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-cystathionine from O-succinyl-L-homoserine: step 1/1.	GO:0003962; GO:0004123; GO:0005737; GO:0009086; GO:0019343; GO:0019346; GO:0030170; GO:0102028	SUBCELLULAR LOCATION: Cytoplasm.	6361020; 8346018; 9278503; 16738553; 3307782; 2405903; 9298644; 9843488	Trans-sulfuration enzymes family		
b4013	P07623	Homoserine O-succinyltransferase (HST) (EC 2.3.1.46) (Homoserine transsuccinylase) (HTS)	metAS metA b4013 JW3973	309	2.3.1.46		PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-succinyl-L-homoserine from L-homoserine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00295, ECO:0000305|PubMed:10572016}.	GO:0004414; GO:0005737; GO:0008899; GO:0019281; GO:0042803	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00295, ECO:0000305}.	2654885; 10572016; 8265357; 9278503; 16738553; 6094503; 3050899; 15556615; 17442255; 17302437; 28581482	MetA family		
b3941	P0AEZ1	5,10-methylenetetrahydrofolate reductase (MTHFR) (EC 1.5.1.54) (NADH-dependent 5,10-methylenetetrahydrofolate reductase)	metF b3941 JW3913	296	1.5.1.54		PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway. {ECO:0000305|PubMed:14275142}.	GO:0004489; GO:0005829; GO:0009086; GO:0032991; GO:0035999; GO:0051087; GO:0071949; GO:0106312		6356036; 8346018; 9278503; 16738553; 14275142; 6219268; 9922232; 11371182; 10201405; 16114881; 16605249; 19610625	Methylenetetrahydrofolate reductase family		
b3829	P25665	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE b3829 JW3805	753	2.1.1.14	P03018	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-methionine from L-homocysteine (MetE route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00172}.	GO:0003871; GO:0005829; GO:0008270; GO:0008705; GO:0009086; GO:0032259; GO:0035999; GO:0050667		1339288; 1379743; 8346018; 9278503; 16738553; 2643109; 9298646; 8823155; 9298644; 10625458	Vitamin-B12 independent methionine synthase family		
b3828	P0A9F9	HTH-type transcriptional regulator MetR	metR b3828 JW3804	317				GO:0000976; GO:0003677; GO:0003700; GO:0005737; GO:0006355; GO:0009086; GO:0016597	SUBCELLULAR LOCATION: Cytoplasm.	2205852; 1379743; 9278503; 16738553; 2643109	LysR transcriptional regulatory family	DOMAIN 1..59; /note="HTH lysR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00253"	
b2153	P0A6T5	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE b2153 JW2140	222	3.5.4.16		PATHWAY: Cofactor biosynthesis; 7,8-dihydroneopterin triphosphate biosynthesis; 7,8-dihydroneopterin triphosphate from GTP: step 1/1.	GO:0003934; GO:0005525; GO:0005737; GO:0005829; GO:0006729; GO:0006730; GO:0008270; GO:0008616; GO:0032991; GO:0035998; GO:0042802; GO:0046654		1665332; 8304099; 9278503; 16738553; 1459137; 9298646; 12297008; 7663943; 12559918; 11087827	GTP cyclohydrolase I family		
b0199	P30750	Methionine import ATP-binding protein MetN (EC 7.4.2.11)	metN abc b0199 JW0195	343	7.4.2.11	P16433; P31547; P0A9F1; P39353		GO:0005524; GO:0008152; GO:0009276; GO:0015191; GO:0016020; GO:0016887; GO:0033232; GO:0042626; GO:0048473; GO:0055052; GO:1903692; GO:1990197	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01719, ECO:0000305}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01719, ECO:0000305}.	9278503; 16738553; 7904973; 12169620; 12218041; 12819857; 25678706; 18621668; 22095702; 30352853	ABC transporter superfamily, Methionine importer (TC 3.A.1.24) family	DOMAIN 2..241; /note="ABC transporter"; /evidence="ECO:0000255|HAMAP-Rule:MF_01719"	
b2913	P0A9T0	D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	serA b2913 JW2880	410	1.1.1.399; 1.1.1.95		PATHWAY: Amino-acid biosynthesis; L-serine biosynthesis; L-serine from 3-phospho-D-glycerate: step 1/3.	GO:0004617; GO:0005829; GO:0006564; GO:0042802; GO:0047545; GO:0070403; GO:0070404; GO:0070905		3017965; 9278503; 16738553; 1917830; 9298646; 8550422; 9298644; 7719856	D-isomer specific 2-hydroxyacid dehydrogenase family	DOMAIN 339..410; /note="ACT"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01007"	
b3743	P0ACI6	Regulatory protein AsnC	asnC b3743 JW3721	152		P31658		GO:0003700; GO:0042802; GO:0043200; GO:0043565; GO:0045892; GO:0045893		6117826; 6357950; 7686882; 9278503; 16738553; 3909107; 2864330; 2836709		DOMAIN 6..67; /note="HTH asnC-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00319"	
b1988	Q47005	Nitrogen assimilation regulatory protein nac (Nitrogen assimilation control protein)	nac b1988 JW1967	305				GO:0003677; GO:0003700; GO:0042128; GO:0045892; GO:0045893; GO:2000142		9495755; 9097040; 9278503; 16738553; 8529872	LysR transcriptional regulatory family	DOMAIN 1..58; /note="HTH lysR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00253"	
b1761	P00370	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	gdhA b1761 JW1750	447	1.4.1.4			GO:0004354; GO:0005737; GO:0005829; GO:0006536; GO:0006537; GO:0042802; GO:0097216; GO:1990148		6308576; 6373501; 9097039; 9278503; 16738553; 9298646; 235298; 241744; 3149742; 8355660; 9298644; 22393408	Glu/Leu/Phe/Val dehydrogenases family		
b0336	P0AA82	Cytosine permease	codB b0336 JW0327	419				GO:0005886; GO:0015209; GO:0016020; GO:0019858; GO:1902600	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	1640834; 9278503; 16738553; 15919996	Purine-cytosine permease (2.A.39) family		TOPO_DOM 1..19; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 40..51; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 72..100; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 121..127; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 148..152; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 173..192; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 213..221; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 243..257; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 278..300; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 321; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 342..358; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 379..380; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:15919996"; TOPO_DOM 401..419; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:15919996"
b2661	P25526	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79) (Glutarate-semialdehyde dehydrogenase) (EC 1.2.1.-)	gabD b2661 JW2636	482	1.2.1.-; 1.2.1.79		PATHWAY: Amino-acid degradation; 4-aminobutanoate degradation. {ECO:0000305|PubMed:7011797}.; PATHWAY: Amino-acid degradation. {ECO:0000305|PubMed:30498244}.	GO:0004777; GO:0005829; GO:0006807; GO:0009013; GO:0009450; GO:0032991; GO:0036243; GO:0042802; GO:0050661; GO:0051289; GO:0102810		8297211; 9205837; 9278503; 16738553; 7011797; 14731280; 30498244; 20174634	Aldehyde dehydrogenase family		
b1384	Q47129	Transcriptional activator FeaR	feaR maoB maoR ydbM b1384 JW1379	301				GO:0000987; GO:0003700; GO:0045893		8631685; 9043126; 9278503; 16738553; 9109378		DOMAIN 199..299; /note="HTH araC/xylS-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00593"	
b0681	P75733	Chitoporin (ChiP-III)	chiP ybfM b0681 JW0667	468				GO:0006811; GO:0009279; GO:0015267; GO:0015288; GO:0015772; GO:0015774; GO:0046930; GO:0052778	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000305|PubMed:12192075}; Multi-pass membrane protein {ECO:0000305|PubMed:12192075}.	8905232; 9278503; 16738553; 12192075; 16857666; 19400782; 19682266	Outer membrane porin (Opr) (TC 1.B.25) family		
b3730	P0ACC7	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU yieA b3730 JW3708	456	2.3.1.157; 2.7.7.23	P0A7V0	PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route II): step 2/2. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; UDP-N-acetyl-alpha-D-glucosamine from N-acetyl-alpha-D-glucosamine 1-phosphate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Bacterial outer membrane biogenesis; LPS lipid A biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01631}.	GO:0000287; GO:0000902; GO:0003977; GO:0005829; GO:0006048; GO:0008360; GO:0009245; GO:0009252; GO:0019134; GO:0042802; GO:0071555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01631, ECO:0000269|PubMed:10428949}.	6395859; 7686882; 9278503; 16738553; 8407787; 8083170; 8555230; 9733680; 10428949; 11329257; 17473010; 21984832; 22297115	N-acetylglucosamine-1-phosphate uridyltransferase family; Transferase hexapeptide repeat family		
b1501	P77561	Protein YdeP	ydeP b1501 JW1495	759				GO:0008863; GO:0010447; GO:0030151; GO:0043546; GO:0051539		9097039; 9278503; 16738553; 12399493; 12694615	Prokaryotic molybdopterin-containing oxidoreductase family		
b1498	P77318	Uncharacterized sulfatase YdeN (EC 3.1.6.-)	ydeN b1498 JW5243	560	3.1.6.-			GO:0004065; GO:0030288; GO:0046872		9097039; 9278503; 16738553	Sulfatase family		
b4397	P0AE91	Protein CreA (Catabolite regulation protein A)	creA yjjD b4397 JW4360	157				GO:0005829		3531171; 7610040; 9278503; 16738553; 8449900; 18375564			
b0827	P12281	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)	moeA bisB chlE narE b0827 JW0811	411	2.10.1.1	P32173; P12281; P0A796	PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis.	GO:0005737; GO:0005829; GO:0006777; GO:0042802; GO:0042803; GO:0046872; GO:0061599		3045084; 8905232; 9278503; 16738553; 9515915; 12372836; 15632135; 11428898; 11525167	MoeA family		
b4154	P00363	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	frdA b4154 JW4115	602	1.3.5.1	P0AC47; P0ACB4; P76111		GO:0000104; GO:0005829; GO:0005886; GO:0006113; GO:0006974; GO:0009055; GO:0009061; GO:0016020; GO:0019645; GO:0044780; GO:0045284; GO:0050660; GO:0071949; GO:0102040	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:10373108, ECO:0000305|PubMed:20484676}; Peripheral membrane protein {ECO:0000305|PubMed:10373108}; Cytoplasmic side {ECO:0000305|PubMed:10373108}.	7037404; 7610040; 9278503; 16738553; 26644464; 2668268; 1856194; 9298644; 20484676; 24374335; 10373108; 11850430	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily		
b4154	A0A2U2H3S9	Fumarate reductase flavoprotein subunit (EC 1.3.5.1)	b4154 frdA YPO0360	607	1.3.5.1			GO:0000104; GO:0005886; GO:0006113; GO:0009055; GO:0009061; GO:0045284; GO:0050660	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004515}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004515}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004515}. Membrane {ECO:0000256|ARBA:ARBA00004287}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004287}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004287}.	11586360	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	DOMAIN 7..397; /note="FAD-dependent oxidoreductase 2 FAD binding"; /evidence="ECO:0000259|Pfam:PF00890"; DOMAIN 453..581; /note="Fumarate reductase/succinate dehydrogenase flavoprotein-like C-terminal"; /evidence="ECO:0000259|Pfam:PF02910"	
b4154	A0A7U7G3C0	Fumarate reductase flavoprotein subunit (EC 1.3.5.1)	b4154 frdA YE3094_37611	634	1.3.5.1			GO:0005886; GO:0009061; GO:0016627; GO:0022900; GO:0050660	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004515}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004515}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004515}. Membrane {ECO:0000256|ARBA:ARBA00004287}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004287}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004287}.	24753568	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	DOMAIN 34..424; /note="FAD-dependent oxidoreductase 2 FAD binding"; /evidence="ECO:0000259|Pfam:PF00890"; DOMAIN 480..608; /note="Fumarate reductase/succinate dehydrogenase flavoprotein-like C-terminal"; /evidence="ECO:0000259|Pfam:PF02910"	
